description,industry,level,size,line_code,value,status,Unit,Footnotes
Process improvement in external relations: Don't know,Forestry & logging,2,total,B0707.03,9,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,"Agriculture, forestry, & fishing support services",2,total,B0707.03,99,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Mining,1,total,B0707.03,6,,Number of businesses,1 and 2 and 3 and 5 and 6
Process improvement in external relations: Don't know,Manufacturing,1,total,B0707.03,222,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,"Food, beverage, & tobacco",2,total,B0707.03,54,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,"Textile, clothing, footwear, & leather",2,total,B0707.03,9,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Wood & paper product,2,total,B0707.03,3,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,"Printing, publishing, & recorded media",2,total,B0707.03,12,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,"Petroleum, coal, chemical, & associated product",2,total,B0707.03,24,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Non-metallic mineral product,2,total,B0707.03,3,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Metal product,2,total,B0707.03,27,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Transport and industrial machinery & equipment,2,total,B0707.03,57,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Other machinery & equipment,2,total,B0707.03,21,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Other manufacturing,2,total,B0707.03,9,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,"Electricity, gas, water, & waste services",1,total,B0707.03,6,,Number of businesses,1 and 2 and 3 and 5 and 6
Process improvement in external relations: Don't know,Construction,1,total,B0707.03,396,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Wholesale trade,1,total,B0707.03,162,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Machinery & equipment wholesaling,2,total,B0707.03,39,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Other wholesale trade,2,total,B0707.03,120,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Retail trade,1,total,B0707.03,426,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Accommodation & food services,1,total,B0707.03,834,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,"Transport, postal, & warehousing",1,total,B0707.03,117,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Information media & telecommunications,1,total,B0707.03,30,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Publishing,2,total,B0707.03,12,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Motion picture,2,total,B0707.03,9,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Telecommunications,2,total,B0707.03,6,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Financial & insurance services,1,total,B0707.03,30,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Finance,2,total,B0707.03,15,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Insurance,2,total,B0707.03,0,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Auxiliary,2,total,B0707.03,15,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,"Rental, hiring, & real estate services",1,total,B0707.03,81,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,"Professional, scientific, & technical services",1,total,B0707.03,198,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Computer systems design,2,total,B0707.03,72,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Other professional scientific,2,total,B0707.03,129,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Administrative & support services,1,total,B0707.03,93,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Education & training,1,total,B0707.03,51,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Health care & social assistance,1,total,B0707.03,165,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Arts & recreation services,1,total,B0707.03,18,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,Other services,1,total,B0707.03,102,,Number of businesses,1 and 2 and 3 and 6
Process improvement in external relations: Don't know,total,0,total,B0707.03,3144,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,total,0,6–19 employees,B0708.01,10017,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement in internal prodecure: Yes,total,0,20–49 employees,B0708.01,3261,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement in internal prodecure: Yes,total,0,50–99 employees,B0708.01,897,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement in internal prodecure: Yes,total,0,100+ employees,B0708.01,831,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement in internal prodecure: Yes,"Agriculture, forestry, & fishing",1,total,B0708.01,978,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Agriculture,2,total,B0708.01,675,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Commercial fishing,2,total,B0708.01,15,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Forestry & logging,2,total,B0708.01,48,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,"Agriculture, forestry, & fishing support services",2,total,B0708.01,240,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Mining,1,total,B0708.01,27,,Number of businesses,1 and 2 and 3 and 5 and 6
Process improvement in internal prodecure: Yes,Manufacturing,1,total,B0708.01,1947,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,"Food, beverage, & tobacco",2,total,B0708.01,399,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,"Textile, clothing, footwear, & leather",2,total,B0708.01,84,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Wood & paper product,2,total,B0708.01,240,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,"Printing, publishing, & recorded media",2,total,B0708.01,51,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,"Petroleum, coal, chemical, & associated product",2,total,B0708.01,147,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Non-metallic mineral product,2,total,B0708.01,81,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Metal product,2,total,B0708.01,324,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Transport and industrial machinery & equipment,2,total,B0708.01,381,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Other machinery & equipment,2,total,B0708.01,111,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Other manufacturing,2,total,B0708.01,126,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,"Electricity, gas, water, & waste services",1,total,B0708.01,75,,Number of businesses,1 and 2 and 3 and 5 and 6
Process improvement in internal prodecure: Yes,Construction,1,total,B0708.01,2355,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Wholesale trade,1,total,B0708.01,1068,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Machinery & equipment wholesaling,2,total,B0708.01,312,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Other wholesale trade,2,total,B0708.01,756,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Retail trade,1,total,B0708.01,1293,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Accommodation & food services,1,total,B0708.01,1404,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,"Transport, postal, & warehousing",1,total,B0708.01,282,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Information media & telecommunications,1,total,B0708.01,177,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Publishing,2,total,B0708.01,78,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Motion picture,2,total,B0708.01,51,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Telecommunications,2,total,B0708.01,48,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Financial & insurance services,1,total,B0708.01,315,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Finance,2,total,B0708.01,87,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Insurance,2,total,B0708.01,12,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Auxiliary,2,total,B0708.01,219,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,"Rental, hiring, & real estate services",1,total,B0708.01,339,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,"Professional, scientific, & technical services",1,total,B0708.01,1905,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Computer systems design,2,total,B0708.01,393,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Other professional scientific,2,total,B0708.01,1512,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Administrative & support services,1,total,B0708.01,777,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Education & training,1,total,B0708.01,429,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Health care & social assistance,1,total,B0708.01,1047,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Arts & recreation services,1,total,B0708.01,213,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,Other services,1,total,B0708.01,366,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Yes,total,0,total,B0708.01,15006,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,total,0,6–19 employees,B0708.02,23121,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement in internal prodecure: No,total,0,20–49 employees,B0708.02,4920,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement in internal prodecure: No,total,0,50–99 employees,B0708.02,1491,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement in internal prodecure: No,total,0,100+ employees,B0708.02,1119,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement in internal prodecure: No,"Agriculture, forestry, & fishing",1,total,B0708.02,2529,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Agriculture,2,total,B0708.02,1668,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Commercial fishing,2,total,B0708.02,39,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Forestry & logging,2,total,B0708.02,192,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,"Agriculture, forestry, & fishing support services",2,total,B0708.02,633,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Mining,1,total,B0708.02,87,,Number of businesses,1 and 2 and 3 and 5 and 6
Process improvement in internal prodecure: No,Manufacturing,1,total,B0708.02,3171,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,"Food, beverage, & tobacco",2,total,B0708.02,723,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,"Textile, clothing, footwear, & leather",2,total,B0708.02,156,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Wood & paper product,2,total,B0708.02,267,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,"Printing, publishing, & recorded media",2,total,B0708.02,126,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,"Petroleum, coal, chemical, & associated product",2,total,B0708.02,264,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Non-metallic mineral product,2,total,B0708.02,120,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Metal product,2,total,B0708.02,651,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Transport and industrial machinery & equipment,2,total,B0708.02,513,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Other machinery & equipment,2,total,B0708.02,108,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Other manufacturing,2,total,B0708.02,240,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,"Electricity, gas, water, & waste services",1,total,B0708.02,120,,Number of businesses,1 and 2 and 3 and 5 and 6
Process improvement in internal prodecure: No,Construction,1,total,B0708.02,4620,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Wholesale trade,1,total,B0708.02,1947,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Machinery & equipment wholesaling,2,total,B0708.02,597,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Other wholesale trade,2,total,B0708.02,1350,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Retail trade,1,total,B0708.02,3441,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Accommodation & food services,1,total,B0708.02,4647,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,"Transport, postal, & warehousing",1,total,B0708.02,1278,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Information media & telecommunications,1,total,B0708.02,255,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Publishing,2,total,B0708.02,105,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Motion picture,2,total,B0708.02,84,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Telecommunications,2,total,B0708.02,66,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Financial & insurance services,1,total,B0708.02,345,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Finance,2,total,B0708.02,108,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Insurance,2,total,B0708.02,24,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Auxiliary,2,total,B0708.02,216,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,"Rental, hiring, & real estate services",1,total,B0708.02,672,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,"Professional, scientific, & technical services",1,total,B0708.02,3015,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Computer systems design,2,total,B0708.02,528,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Other professional scientific,2,total,B0708.02,2487,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Administrative & support services,1,total,B0708.02,978,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Education & training,1,total,B0708.02,678,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Health care & social assistance,1,total,B0708.02,1659,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Arts & recreation services,1,total,B0708.02,300,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,Other services,1,total,B0708.02,900,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: No,total,0,total,B0708.02,30651,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,total,0,6–19 employees,B0708.03,2223,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement in internal prodecure: Don't know,total,0,20–49 employees,B0708.03,519,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement in internal prodecure: Don't know,total,0,50–99 employees,B0708.03,117,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement in internal prodecure: Don't know,total,0,100+ employees,B0708.03,126,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement in internal prodecure: Don't know,"Agriculture, forestry, & fishing",1,total,B0708.03,222,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Agriculture,2,total,B0708.03,114,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Commercial fishing,2,total,B0708.03,3,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Forestry & logging,2,total,B0708.03,12,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,"Agriculture, forestry, & fishing support services",2,total,B0708.03,96,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Mining,1,total,B0708.03,6,,Number of businesses,1 and 2 and 3 and 5 and 6
Process improvement in internal prodecure: Don't know,Manufacturing,1,total,B0708.03,252,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,"Food, beverage, & tobacco",2,total,B0708.03,96,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,"Textile, clothing, footwear, & leather",2,total,B0708.03,6,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Wood & paper product,2,total,B0708.03,3,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,"Printing, publishing, & recorded media",2,total,B0708.03,15,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,"Petroleum, coal, chemical, & associated product",2,total,B0708.03,33,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Non-metallic mineral product,2,total,B0708.03,3,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Metal product,2,total,B0708.03,27,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Transport and industrial machinery & equipment,2,total,B0708.03,45,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Other machinery & equipment,2,total,B0708.03,18,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Other manufacturing,2,total,B0708.03,6,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,"Electricity, gas, water, & waste services",1,total,B0708.03,9,,Number of businesses,1 and 2 and 3 and 5 and 6
Process improvement in internal prodecure: Don't know,Construction,1,total,B0708.03,450,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Wholesale trade,1,total,B0708.03,180,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Machinery & equipment wholesaling,2,total,B0708.03,42,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Other wholesale trade,2,total,B0708.03,138,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Retail trade,1,total,B0708.03,315,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Accommodation & food services,1,total,B0708.03,621,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,"Transport, postal, & warehousing",1,total,B0708.03,114,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Information media & telecommunications,1,total,B0708.03,21,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Publishing,2,total,B0708.03,6,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Motion picture,2,total,B0708.03,6,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Telecommunications,2,total,B0708.03,6,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Financial & insurance services,1,total,B0708.03,27,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Finance,2,total,B0708.03,15,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Insurance,2,total,B0708.03,0,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Auxiliary,2,total,B0708.03,12,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,"Rental, hiring, & real estate services",1,total,B0708.03,33,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,"Professional, scientific, & technical services",1,total,B0708.03,249,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Computer systems design,2,total,B0708.03,63,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Other professional scientific,2,total,B0708.03,189,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Administrative & support services,1,total,B0708.03,72,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Education & training,1,total,B0708.03,54,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Health care & social assistance,1,total,B0708.03,207,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Arts & recreation services,1,total,B0708.03,45,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,Other services,1,total,B0708.03,99,,Number of businesses,1 and 2 and 3 and 6
Process improvement in internal prodecure: Don't know,total,0,total,B0708.03,2982,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,total,0,6–19 employees,B0901,10764,,Number of businesses,1 and 2 and 3 and 4 and 6
Process imrprovement developed by business,total,0,20–49 employees,B0901,3120,,Number of businesses,1 and 2 and 3 and 4 and 6
Process imrprovement developed by business,total,0,50–99 employees,B0901,921,,Number of businesses,1 and 2 and 3 and 4 and 6
Process imrprovement developed by business,total,0,100+ employees,B0901,846,,Number of businesses,1 and 2 and 3 and 4 and 6
Process imrprovement developed by business,"Agriculture, forestry, & fishing",1,total,B0901,915,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Agriculture,2,total,B0901,606,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Commercial fishing,2,total,B0901,15,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Forestry & logging,2,total,B0901,54,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,"Agriculture, forestry, & fishing support services",2,total,B0901,240,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Mining,1,total,B0901,30,,Number of businesses,1 and 2 and 3 and 5 and 6
Process imrprovement developed by business,Manufacturing,1,total,B0901,2199,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,"Food, beverage, & tobacco",2,total,B0901,471,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,"Textile, clothing, footwear, & leather",2,total,B0901,108,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Wood & paper product,2,total,B0901,231,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,"Printing, publishing, & recorded media",2,total,B0901,63,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,"Petroleum, coal, chemical, & associated product",2,total,B0901,183,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Non-metallic mineral product,2,total,B0901,93,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Metal product,2,total,B0901,369,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Transport and industrial machinery & equipment,2,total,B0901,417,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Other machinery & equipment,2,total,B0901,123,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Other manufacturing,2,total,B0901,141,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,"Electricity, gas, water, & waste services",1,total,B0901,72,,Number of businesses,1 and 2 and 3 and 5 and 6
Process imrprovement developed by business,Construction,1,total,B0901,2157,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Wholesale trade,1,total,B0901,1059,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Machinery & equipment wholesaling,2,total,B0901,333,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Other wholesale trade,2,total,B0901,723,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Retail trade,1,total,B0901,1359,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Accommodation & food services,1,total,B0901,1659,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,"Transport, postal, & warehousing",1,total,B0901,429,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Information media & telecommunications,1,total,B0901,231,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Publishing,2,total,B0901,96,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Motion picture,2,total,B0901,78,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Telecommunications,2,total,B0901,54,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Financial & insurance services,1,total,B0901,309,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Finance,2,total,B0901,87,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Insurance,2,total,B0901,15,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Auxiliary,2,total,B0901,210,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,"Rental, hiring, & real estate services",1,total,B0901,372,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,"Professional, scientific, & technical services",1,total,B0901,2121,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Computer systems design,2,total,B0901,477,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Other professional scientific,2,total,B0901,1650,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Administrative & support services,1,total,B0901,807,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Education & training,1,total,B0901,483,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Health care & social assistance,1,total,B0901,921,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Arts & recreation services,1,total,B0901,183,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,Other services,1,total,B0901,339,,Number of businesses,1 and 2 and 3 and 6
Process imrprovement developed by business,total,0,total,B0901,15648,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,total,0,6–19 employees,B0902,4224,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement developed by business in partnership,total,0,20–49 employees,B0902,1521,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement developed by business in partnership,total,0,50–99 employees,B0902,588,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement developed by business in partnership,total,0,100+ employees,B0902,579,,Number of businesses,1 and 2 and 3 and 4 and 6
Process improvement developed by business in partnership,"Agriculture, forestry, & fishing",1,total,B0902,237,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Agriculture,2,total,B0902,132,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Commercial fishing,2,total,B0902,6,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,Forestry & logging,2,total,B0902,27,,Number of businesses,1 and 2 and 3 and 6
Process improvement developed by business in partnership,"Agriculture, forestry, & fishing support services",2,total,B0902,75,,Number of businesses,1 and 2 and 3 and 6
